Spanish Word,ira,anticipacion,disgusto,miedo,alegria,negativo,positivo,tristeza,sorpresa,confianza
abstencion,0,0,0,0,0,0,0,0,0,0
abstenerse,1,0,1,0,0,1,0,0,0,0
absteniendose,0,0,0,0,0,0,0,0,0,0
abstinencia,0,0,0,0,0,0,0,0,0,0
abstraccion,0,0,0,0,0,0,0,0,0,0
absurdo,0,0,1,0,0,1,0,0,0,0
abucheo,0,0,0,0,0,1,0,0,0,0
abuela,0,0,0,0,0,0,1,0,0,0
abuelo,0,0,0,0,0,0,0,0,0,1
abundancia,0,1,1,0,1,1,1,0,0,1
abundancia de nubes,0,0,0,1,0,1,0,0,0,0
abundante,0,1,0,0,1,0,1,0,0,0
abundar,0,0,0,0,0,0,0,0,0,0
aburrido,0,0,0,0,0,1,0,0,0,0
aburrimiento,0,0,0,0,0,1,0,1,0,0
aburrir,0,0,0,0,0,1,0,0,0,0
abuso,1,0,1,1,0,1,0,1,0,0
aby,0,0,0,0,0,0,0,0,0,0
abyecto,0,0,1,0,0,1,0,0,0,0
academia,0,0,0,0,0,0,1,0,0,0
academico,0,0,0,0,0,0,1,0,0,1
acampar,0,0,0,0,0,0,0,0,0,0
acanalado,0,0,0,0,0,0,0,0,0,0
acantilado,0,0,0,1,0,0,0,0,0,0
acarreo,0,0,0,0,0,0,0,0,0,0
acceder a,0,0,0,0,0,0,0,0,0,0
accesible,0,0,0,0,0,0,1,0,0,0
acceso,0,0,0,0,0,0,0,0,0,0
accesorio,0,0,0,0,0,0,1,0,0,0
accesorios,0,0,0,0,0,0,0,0,0,0
accidental,0,0,0,1,0,1,0,0,1,0
accidentalmente,0,0,0,0,0,0,0,0,1,0
accidente,0,0,0,1,0,1,0,1,1,0
accion,0,0,0,0,0,0,1,0,0,0
accion de gracias,0,0,0,0,1,0,1,0,0,0
accionista,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0
acechar,0,0,0,1,0,1,0,0,0,0
aceite,0,0,0,0,0,0,0,0,0,0
aceites,0,0,0,0,0,0,0,0,0,0
aceituna,0,0,0,0,0,0,0,0,0,0
aceleracion,0,0,0,0,0,0,0,0,0,0
acelerador,1,0,0,0,0,1,0,0,0,0
acelerar,0,1,0,0,0,0,0,0,0,0
acento,0,0,0,0,0,0,0,0,0,0
acentuar,0,0,0,0,0,0,0,0,0,0
aceptable,0,0,0,0,0,0,1,0,0,0
aceptacion,0,0,0,0,0,0,1,0,0,0
aceptado,0,0,0,0,0,0,0,0,0,0
aceptar,0,0,0,0,0,0,1,0,0,0
acera,0,0,0,0,0,0,0,0,0,1
acercarse,0,0,0,0,0,0,0,0,0,0
acero,0,0,0,0,0,0,0,0,0,0
acetico,0,0,0,0,0,0,0,0,0,0
achaparrado,0,0,0,0,0,0,0,0,0,0
achispado,0,0,0,0,0,1,0,0,0,0
acidez,0,0,0,0,0,1,0,0,0,0
acido,0,0,0,0,0,1,0,0,0,0
aclarar,0,0,0,0,1,0,1,0,1,1
acogedor,0,0,0,0,0,0,1,0,0,0
acomodar,0,0,0,0,0,0,0,0,0,0
acompañamiento,0,1,0,0,1,0,1,0,0,1
acompañar,0,0,0,0,0,0,0,0,0,0
acomplejado,0,0,0,0,0,1,0,0,0,0
acondicionado,0,0,0,0,0,0,0,0,0,0
aconsejable,0,0,0,0,0,0,1,0,0,1
aconsejado,0,0,0,0,0,0,0,0,0,1
acontecer,0,0,0,0,0,1,0,0,0,0
acoplado,0,0,0,0,0,0,0,0,0,0
acordado,0,0,0,0,0,0,1,0,0,1
acordeon,0,0,0,0,0,0,0,0,0,0
acordes,0,0,0,0,0,0,0,0,0,0
acortamiento,0,0,0,0,0,0,0,0,0,0
acortar,0,0,0,0,0,0,0,0,0,0
acosando,1,0,0,0,0,0,0,0,0,0
acosar,1,0,1,0,0,1,0,0,0,0
acoso,1,0,1,1,0,1,0,1,0,0
acostumbrado,0,0,0,0,0,0,0,0,0,0
acre,0,0,1,0,0,1,0,0,0,0
acrecion,0,0,0,0,0,0,0,0,0,0
acreditado,0,0,0,0,0,0,1,0,0,1
acreditando,0,0,0,0,0,0,0,0,0,0
acreedor,0,0,0,0,0,0,0,0,0,0
acreedor hipotecario,0,0,0,0,0,0,0,0,0,1
acribillado,0,0,0,0,0,1,0,0,0,0
acrobata,0,0,0,1,1,0,1,0,0,1
actitud,0,0,0,0,0,0,0,0,0,0
actividad,0,0,0,0,0,0,0,0,0,0
activo,0,0,0,0,0,0,0,0,0,0
activos,0,0,0,0,0,0,1,0,0,0
actor,0,0,0,0,0,0,0,0,0,0
actuacion,0,0,0,0,0,0,0,0,0,0
actual,0,0,0,0,0,0,1,0,0,0
actuar,0,0,0,0,0,0,0,0,0,0
actuario,0,0,0,0,0,0,0,0,0,0
acuario,0,0,0,0,0,0,0,0,0,0
acuatico,0,0,0,0,0,0,0,0,0,0
acueducto,0,0,0,0,0,0,0,0,0,0
acuerdo,0,1,0,0,1,0,1,0,1,1
acumulacion,0,0,0,0,0,0,0,0,0,0
acumular,0,0,0,0,0,0,0,0,0,0
acumularse,0,0,0,0,0,0,0,0,0,0
acuoso,0,0,0,0,0,1,0,0,0,0
acupuntura,0,0,0,0,0,0,0,0,0,0
acusacion,1,0,0,1,0,1,0,1,0,0
acusado,1,0,0,1,0,1,0,0,0,0
acusador,1,0,0,1,0,1,0,0,0,0
acusando,1,0,0,1,0,1,0,0,0,0
acusativo,0,0,0,0,0,1,0,0,0,0
acustica,0,0,0,0,0,0,0,0,0,0
acustico,0,0,0,0,0,0,0,0,0,0
adagio,0,0,0,0,0,0,0,0,0,0
adaptable,0,0,0,0,0,0,1,0,0,0
adaptar,0,0,0,0,0,0,1,0,0,0
adecuacion,0,0,0,0,0,0,1,0,0,0
adecuado,0,1,0,0,1,0,1,0,0,1
adelantar,0,0,0,0,0,1,0,0,0,0
adelante,0,0,0,0,0,0,1,0,0,0
ademas,0,0,0,0,0,0,0,0,0,0
adepto,0,0,0,0,0,0,1,0,0,0
aderezo,0,0,0,0,0,0,0,0,0,0
adeudado,0,0,0,0,0,0,0,0,0,0
adherencia,0,0,0,0,0,0,0,0,0,0
adherente,0,0,0,0,0,0,0,0,0,0
adherido,0,0,0,0,0,0,0,0,0,1
adherirse,0,0,0,1,0,0,0,0,0,0
adhesion,0,0,0,0,0,0,0,0,0,0
adhesivo,0,0,0,0,0,0,0,0,0,0
adiccion,0,0,0,0,0,1,0,0,0,0
adicional,0,0,0,0,0,0,0,0,0,0
adios,0,1,0,0,0,0,0,0,0,0
adiposo,0,0,0,0,0,1,0,0,0,0
aditivo,0,0,0,0,0,0,0,0,0,0
adivinacion,0,1,0,0,0,0,0,0,0,0
adivinanza,0,0,0,0,0,0,0,0,0,0
adivinar,0,0,0,0,0,0,0,0,1,0
adjetivo,0,0,0,0,0,0,0,0,0,0
adjudicacion,0,0,0,0,0,0,0,0,0,0
adjuntar,0,0,0,0,0,0,0,0,0,0
adjunto,0,0,0,0,0,0,1,0,0,0
administracion,0,0,0,0,0,0,1,0,0,1
administrar,0,0,0,0,0,0,1,0,0,1
administrativo,0,0,0,0,0,0,0,0,0,1
admirable,0,0,0,0,1,0,1,0,0,1
admiracion,0,0,0,0,1,0,1,0,0,1
admirador,0,0,0,0,0,0,1,0,0,0
admirar,0,0,0,0,0,0,1,0,0,1
admisibilidad,0,0,0,0,0,0,0,0,0,0
admisible,0,0,0,0,0,0,1,0,0,1
admision,0,0,0,0,0,0,0,0,0,0
admitido,0,0,0,0,0,0,0,0,0,0
admitiendo,0,0,0,0,0,0,0,0,0,0
admitir,0,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0
adoctrinamiento,1,0,0,1,0,1,0,0,0,0
adolescencia,0,0,0,0,0,0,0,0,0,0
adolescente,0,0,0,0,0,0,0,0,0,0
adolescentes,0,0,0,0,0,1,1,0,0,0
adopcion,0,0,0,0,0,0,0,0,0,0
adoptar,0,0,0,0,0,0,0,0,0,0
adoquin,0,0,0,0,0,0,0,0,0,0
adorable,0,0,0,0,1,0,1,0,0,0
adoracion,0,1,0,1,1,0,1,0,0,1
adorar,0,1,0,0,1,0,1,0,0,1
adormecer,0,0,0,0,0,1,0,0,0,0
adornado,0,0,0,0,0,0,1,0,0,0
adornar,0,0,0,0,0,1,0,0,0,0
adorno,0,0,0,0,0,0,0,0,0,0
adornos,0,0,0,0,0,1,0,0,0,0
adquirir,0,0,0,0,0,0,1,0,0,0
adquisicion,0,0,0,0,0,0,0,0,0,0
adquisiciones,0,0,0,0,0,0,0,0,0,0
adquisidor,0,1,0,0,0,0,1,0,0,0
adquisitivo,0,0,0,0,0,0,0,0,0,0
adrede,0,0,0,0,0,0,1,0,0,0
adulacion,0,0,0,0,0,0,0,0,0,0
adular,0,0,0,0,0,1,0,0,0,0
adulterio,0,0,1,0,0,1,0,1,0,0
adulto,0,0,0,0,0,0,0,0,0,0
advenedizo,0,0,0,0,0,0,0,0,0,0
adversario,1,1,1,1,0,1,0,0,0,0
adversidad,1,0,0,1,0,1,0,1,0,0
adverso,1,0,1,1,0,1,0,1,0,0
advertencia,0,0,0,1,0,0,0,0,0,0
advertido,0,1,0,1,0,1,0,0,0,0
advertir,0,1,0,1,0,1,0,0,1,1
adviento,0,1,0,0,1,0,1,0,0,1
adyacente,0,0,0,0,0,0,0,0,0,0
aereo,0,0,0,0,0,0,0,0,0,0
aerodeslizador,0,0,0,0,0,0,0,0,0,0
aerodinamica,0,0,0,0,0,0,0,0,0,0
aerodromo,0,0,0,0,0,0,0,0,0,0
aerolinea,0,0,0,0,0,0,0,0,0,0
aeronautica,0,0,0,0,0,0,0,0,0,0
aeropuerto,0,1,0,0,0,0,0,0,0,0
afable,0,0,0,0,0,0,1,0,0,0
afan,0,1,0,0,1,0,1,0,0,1
afectos,0,0,0,0,0,0,0,0,0,0
afeitado,0,0,0,0,0,0,0,0,0,0
afeitar,0,0,0,0,0,0,0,0,0,0
afeminado,0,0,0,0,0,1,0,0,0,0
afiche,0,0,0,0,0,0,0,0,0,0
aficionado,0,0,0,0,0,0,0,0,0,0
afido,0,0,1,0,0,1,0,0,0,0
afijo,0,0,0,0,0,0,0,0,0,0
afilado,0,0,0,0,0,0,0,0,0,0
afilar,1,1,0,0,0,0,0,0,0,0
afiliacion,0,0,0,0,0,0,0,0,0,0
afinacion,0,0,0,0,0,0,0,0,0,0
afinidad,0,0,0,0,0,0,0,0,0,0
afirmacion,0,0,0,0,0,0,1,0,0,0
afirmando,0,0,0,0,0,0,1,0,0,1
afirmar,0,0,0,0,0,0,1,0,0,1
afirmativamente,0,0,0,0,0,0,1,0,0,1
afirmativo,0,0,0,0,0,0,1,0,0,0
afliccion,0,0,1,1,0,1,0,1,0,0
afligido,0,0,0,0,0,1,0,1,0,0
afligir,0,0,0,1,0,1,0,1,0,0
afligirse,0,0,0,1,0,1,0,1,0,0
aflojamiento,0,0,0,0,0,0,0,0,0,0
aflojar,0,0,0,0,0,0,0,0,0,0
afluencia,0,0,0,0,1,0,1,0,0,0
afluente,0,1,0,0,0,0,1,0,0,0
aforo,0,0,0,0,0,0,0,0,0,1
afortunado,0,0,0,0,1,0,1,0,1,0
afrenta,1,0,1,1,0,1,0,1,1,0
afueras,0,0,0,0,0,0,0,0,0,0
aga,0,0,0,1,0,0,1,0,0,1
agachadiza,0,0,0,0,0,0,0,0,0,0
agachado,0,0,0,0,0,0,0,0,0,0
agacharse,0,0,0,1,0,0,0,0,0,0
agarre,0,0,0,0,0,0,0,0,0,0
agata,0,0,0,0,0,0,0,0,0,0
agazapado,0,0,0,1,0,1,0,0,0,0
agencia,0,0,0,0,0,0,0,0,0,0
agente,0,0,0,0,0,0,0,0,0,0
agente de mudanzas,0,0,0,0,0,0,1,0,0,0
agil,0,0,0,0,0,0,1,0,0,0
agilidad,0,0,0,0,0,0,1,0,0,0
agitacion,1,0,0,0,0,1,0,0,0,0
agitado,1,0,0,0,0,1,0,0,0,0
agitador,0,0,0,0,0,0,0,0,0,0
aglomeracion,0,0,0,0,0,0,0,0,0,0
agnostico,0,0,0,0,0,0,0,0,0,0
agobiante,0,0,0,0,0,0,1,0,0,0
agonia,1,0,0,1,0,1,0,1,0,0
agonizante,0,0,0,1,0,1,0,0,0,0
agosto,0,0,0,0,0,0,1,0,0,0
agotado,0,0,0,0,0,0,0,0,0,0
agotador,1,0,0,1,0,1,0,1,0,0
agotamiento,0,1,0,0,0,1,0,1,0,0
agraciado,0,0,0,0,0,0,1,0,0,0
agradable,0,1,0,0,1,0,1,0,1,1
agradecido,0,0,0,0,1,0,1,0,0,0
agravacion,1,0,1,0,0,1,0,0,0,0
agravado,1,0,0,0,0,1,0,0,0,0
agravante,1,0,0,0,0,1,0,1,0,0
agravio,0,0,0,0,0,1,0,0,0,0
agregacion,0,0,0,0,0,0,0,0,0,0
agregar,0,0,0,0,0,0,0,0,0,0
agresion,1,0,0,1,0,1,0,0,0,0
agresivo,1,0,0,1,0,1,0,0,0,0
agresor,1,0,1,1,0,1,0,1,1,0
agricola,0,0,0,0,0,0,0,0,0,0
agricultura,0,0,0,0,0,0,1,0,0,1
agrietado,1,0,0,1,0,1,0,0,0,0
agrietamiento,0,0,0,0,0,1,0,0,0,0
agrimensura,0,0,0,0,0,0,1,0,0,0
agrio,0,0,1,0,0,1,0,0,0,0
agrupamiento,0,0,0,0,0,0,0,0,0,0
agua,0,0,0,0,0,0,0,0,0,0
agua sucia,0,0,1,0,0,1,0,0,0,0
aguacero,0,0,0,0,0,0,0,0,0,0
aguamarina,0,0,0,0,0,0,0,0,0,0
aguamiel,0,0,0,0,0,0,0,0,0,0
aguanieve,0,0,0,0,0,1,0,0,0,0
aguante,0,0,0,0,0,0,1,0,0,1
aguas residuales,0,0,1,0,0,1,0,0,0,0
agudeza,0,0,0,0,0,0,1,0,0,0
agudisimo,0,0,0,1,0,1,0,0,0,0
aguila,0,0,0,0,0,0,0,0,0,1
aguja,0,0,0,0,0,0,1,0,0,0
agujereado,0,0,0,0,0,1,0,0,0,0
agujerito,0,0,0,0,0,0,0,0,0,0
agujero,0,0,0,0,0,0,0,0,0,0
ahogar,0,0,0,1,0,1,0,1,0,0
ahogo,1,0,0,0,0,1,0,1,0,0
ahondar,0,0,0,0,0,0,0,0,0,0
ahorquillado,0,0,0,0,0,0,0,0,0,0
ahorrar,0,0,0,0,1,0,1,0,0,1
ahorrativo,0,0,0,0,0,0,0,0,0,0
ahorro,0,0,1,0,0,0,1,0,0,1
ahorros,0,0,0,0,0,0,1,0,0,0
ahumado,0,0,0,0,0,0,0,0,0,0
airado,1,0,0,0,0,1,0,0,0,0
aire,0,0,0,0,0,0,0,0,0,0
aire libre,0,0,0,0,0,0,0,0,0,0
aireacion,0,0,0,0,0,0,0,0,0,0
aires,0,0,1,0,0,1,0,0,0,0
aislado,0,0,0,1,0,1,0,1,0,0
aislamiento,0,0,0,0,0,1,0,1,0,0
aislar,0,0,0,0,0,0,0,1,0,0
ajedrez,0,0,0,0,0,0,0,0,0,0
ajenjo,0,0,0,0,0,0,0,0,0,0
ajetreo,0,0,0,0,0,0,0,0,0,0
ajo,0,0,0,0,0,0,0,0,0,0
ajustable,0,0,0,0,0,0,0,0,0,0
ajustamiento,0,0,0,0,0,0,0,0,0,0
ajustar,0,0,0,0,0,0,0,0,0,0
al azar,0,0,0,0,0,0,0,0,1,0
al campo,0,0,0,0,0,0,0,0,0,0
al frente,0,0,0,0,0,0,0,0,0,0
ala,0,0,0,0,0,0,0,0,0,0
alabado,0,0,0,0,1,0,1,0,0,0
alabastro,0,0,0,0,0,0,1,0,0,0
alacena,0,0,0,0,0,0,0,0,0,0
alargado,0,0,0,0,0,0,0,0,0,0
alargamiento,0,0,0,0,0,0,0,0,0,0
alargar,0,0,0,0,0,0,0,0,0,0
alarido,0,0,0,0,0,0,0,0,0,0
alarma,0,0,0,1,0,1,0,0,1,0
alarmante,0,0,0,1,0,1,0,0,1,0
alba,0,0,0,0,0,0,0,0,0,1
alborada,0,1,0,0,0,0,0,0,0,0
alboroto,1,0,0,1,0,1,0,0,0,0
album,0,0,0,0,0,0,0,0,0,0
alcachofa,0,0,0,0,0,0,0,0,0,0
alcalde,0,0,0,0,0,0,1,0,0,0
alcali,0,0,0,0,0,0,0,0,0,0
alcaloides,0,0,0,0,0,0,0,0,0,0
alcance,0,0,0,0,0,0,0,0,0,0
alcance del oido,0,0,0,0,0,0,0,0,0,0
alcantarilla,0,0,0,0,0,0,0,0,0,0
alcantarillado,0,0,1,0,0,1,0,0,0,0
alcanzable,0,1,0,0,0,0,1,0,0,0
alcanzar,0,0,0,0,0,0,0,0,0,0
alcaparra,0,0,0,0,0,0,0,0,0,0
alce,0,0,0,0,0,0,0,0,0,0
alcohol,0,0,0,0,0,0,0,0,0,0
alcoholismo,1,0,1,1,0,1,0,1,0,0
aldea,0,0,0,0,0,0,0,0,0,0
aldeano,0,0,0,0,0,0,1,0,0,1
aleacion,0,0,0,0,0,0,0,0,0,0
aleatoriedad,0,0,0,0,0,0,0,0,0,0
alegacion,1,0,0,0,0,1,0,0,0,0
alegar,0,0,0,0,0,1,0,0,0,0
alegoria,0,0,0,0,0,0,0,0,0,0
alegorico,0,0,0,0,0,0,0,0,0,0
alegrarse,0,1,0,0,1,0,1,0,1,1
alegre,0,0,0,0,1,0,1,0,1,0
alegria,0,1,0,0,1,0,1,0,1,1
alegro,0,0,0,0,0,0,1,0,0,0
alejado,1,0,0,1,0,1,0,1,0,0
alejarse,0,0,0,0,0,0,0,0,0,0
aleman,0,0,0,0,0,0,0,0,0,0
alentar,0,0,0,0,1,0,1,0,0,1
alerta,0,0,0,0,0,0,0,0,0,0
alertas,0,1,0,1,0,0,0,0,1,0
aleta,0,0,0,0,0,0,0,0,0,0
aleteo,0,0,0,0,0,0,0,0,0,0
alfabetico,0,0,0,0,0,0,0,0,0,0
alfabeto,0,0,0,0,0,0,0,0,0,0
alfalfa,0,0,0,0,0,0,0,0,0,0
alfarero,0,0,0,0,0,0,0,0,0,0
alfiler,0,0,0,0,0,0,0,0,0,0
alfombra,0,0,0,0,0,0,0,0,0,0
alfombrilla de raton,0,0,0,0,0,1,0,0,0,0
algarabia,1,0,0,0,0,1,0,0,0,0
algebra,0,0,0,0,0,0,0,0,0,0
algebraico,0,0,0,0,0,0,0,0,0,0
algo,0,0,0,0,0,0,0,0,0,0
algodon,0,0,0,0,0,0,0,0,0,0
algoritmo,0,0,0,0,0,0,0,0,0,0
alguacil,0,0,0,1,0,1,0,0,0,1
alharaca,0,0,0,0,0,0,0,0,0,0
aliado,0,0,0,0,0,0,1,0,0,1
alianza,0,0,0,0,0,0,0,0,0,1
alicaido,0,0,0,0,0,0,0,0,0,0
alicates,0,0,0,0,0,0,0,0,0,0
alicuota,0,0,0,0,0,0,0,0,0,0
alienacion,1,0,1,1,0,1,0,1,0,0
alienado,0,0,0,0,0,1,0,1,0,0
aliento,0,0,0,0,0,0,0,0,0,0
aligerar,0,0,0,0,0,0,0,0,0,0
alimañas,1,0,1,1,0,1,0,0,0,0
alimentacion,0,0,0,0,0,0,1,0,0,0
alimentador,0,0,0,0,0,0,0,0,0,0
alimento,0,0,0,0,1,0,1,0,0,1
alineacion,0,0,0,0,0,0,0,0,0,0
alineado,0,0,0,0,0,0,0,0,0,0
aliviando,0,0,0,0,0,0,1,0,0,0
aliviar,0,0,0,0,0,0,1,0,0,0
alivio,0,0,0,0,0,0,1,0,0,0
alla,0,0,0,0,0,0,0,0,0,0
alma,0,0,0,0,0,0,1,0,0,0
alma en pena,1,0,1,1,0,1,0,1,0,0
alma gemela,0,0,0,1,0,1,0,0,0,0
almacen,0,0,0,0,0,0,0,0,0,0
almacenamiento,0,0,0,0,0,0,0,0,0,0
almacenar,0,0,0,0,0,0,0,0,0,0
almanaque,0,0,0,0,0,0,0,0,0,0
almeja,0,0,0,0,0,0,0,0,0,0
almiar,0,0,0,0,0,0,0,0,0,0
almidon,0,0,0,0,0,0,0,0,0,0
almirantazgo,0,0,0,0,0,0,0,0,0,0
almirante,0,0,0,0,0,0,1,0,0,1
almizcle,0,0,0,0,0,0,0,0,0,0
almohada,0,0,0,0,0,0,1,0,0,0
almohadilla,0,0,0,0,0,0,1,0,0,0
almohadon,0,0,0,0,0,0,1,0,0,0
almuerzo,0,0,0,0,0,0,0,0,0,0
aloha,0,1,0,0,1,0,1,0,0,0
alojamiento,0,0,0,0,0,0,1,0,0,0
alondra,0,0,0,0,0,0,0,0,0,0
alpinista,0,0,0,0,0,0,0,0,0,0
alquilado,0,0,0,0,0,0,0,0,0,0
alquiler,0,0,0,0,0,0,0,0,0,0
alquimia,0,0,0,0,0,0,0,0,0,0
alquitran,0,0,0,0,0,0,0,0,0,0
alquitranado,0,0,0,0,0,1,0,0,0,0
alrededores,0,0,0,0,0,0,0,0,0,0
alta burguesia,0,0,0,0,0,0,1,0,0,1
altar,0,0,0,0,0,0,0,0,0,0
altavoz,0,0,0,0,0,0,0,0,0,0
alterado,0,0,0,0,0,0,0,0,0,0
alterar,0,0,0,0,0,0,0,0,0,0
altercado,1,0,0,0,0,1,0,0,0,0
alternativa,0,0,0,0,0,0,0,0,0,0
alterno,0,0,0,0,0,0,0,0,0,0
altisimo,0,0,0,0,0,0,0,0,0,0
altitud,0,0,0,0,0,0,0,0,0,0
alto,0,0,0,0,0,0,0,0,0,0
altruista,0,0,0,0,0,0,1,0,0,0
altura,0,0,0,0,0,0,0,0,0,0
alucinacion,0,0,0,1,0,1,0,0,0,0
alumno,0,0,0,0,0,0,0,0,0,0
alusion,0,0,0,0,0,0,0,0,0,0
aluvial,0,0,0,0,0,0,0,0,0,0
alveolar,0,0,0,0,0,0,0,0,0,0
ama de casa,0,0,0,0,0,0,0,0,0,0
amabilidad,0,0,0,0,1,0,1,0,0,1
amable,0,0,0,0,1,0,1,0,0,1
amalgama,0,0,0,0,0,0,0,0,0,0
amalgamacion,0,0,0,0,0,0,0,0,0,0
amanecer,0,1,0,0,1,0,1,0,1,1
amanerado,0,0,0,0,0,0,1,0,0,0
amante,0,1,0,0,1,0,1,0,0,1
amapola,0,0,0,0,0,0,0,0,0,0
amargamente,1,0,1,0,0,1,0,1,0,0
amargura,1,0,1,0,0,1,0,1,0,0
amarillo,0,0,0,0,0,0,0,0,0,0
amarillos,0,0,0,0,0,1,0,0,0,0
amarradero,0,0,0,0,0,0,0,0,0,0
amarrado,0,0,0,0,0,0,0,0,0,0
amarrar,0,0,0,0,0,0,0,0,0,0
amarras,0,0,0,0,0,0,0,0,0,1
amasar,0,0,0,0,0,0,0,0,0,0
amatista,0,0,0,0,0,0,0,0,0,0
ambar,0,0,0,0,0,0,0,0,0,0
ambicion,0,1,0,0,1,0,1,0,0,1
ambicioso,0,1,0,0,1,0,1,0,0,1
ambiente,0,0,0,0,0,0,0,0,0,0
ambiguo,0,0,0,0,0,1,0,0,0,0
ambigüedad,0,0,0,0,0,0,0,0,0,0
ambito,0,0,0,0,0,0,0,0,0,0
ambulancia,0,0,0,1,0,0,0,0,0,1
amen,0,0,0,0,1,0,1,0,0,1
amenaza,1,0,0,1,0,1,0,0,0,0
amenazador,1,0,0,1,0,1,0,0,0,0
amenazante,1,0,1,1,0,1,0,0,0,0
amenazar,1,1,0,1,0,1,0,0,0,0
